mol_name,ICS_CISD_FH_EMPI,ICS_CISD_FH_TRUE,ICS_CISD_LCU_EMPI,ICS_CISD_LCU_TRUE,ICS_TRUE_FH_EMPI,ICS_TRUE_FH_TRUE,ICS_TRUE_LCU_EMPI,ICS_TRUE_LCU_TRUE,SHIFT_ICS_CISD_FH_EMPI,SHIFT_ICS_CISD_FH_TRUE,SHIFT_ICS_CISD_LCU_EMPI,SHIFT_ICS_CISD_LCU_TRUE,SHIFT_SI_FH_EMPI,SHIFT_SI_FH_TRUE,SHIFT_SI_LCU_EMPI,SHIFT_SI_LCU_TRUE,SI_FH_EMPI,SI_FH_TRUE,SI_LCU_EMPI,SI_LCU_TRUE
H2,(1.4383003932780407+0j),1.419188831371791,(0.8989745868270111+0j),0.923623950480114,(1.2862146741755396+0j),1.2885328886368237,(0.8664295682164156+0j),0.8780760074714093,(0.12991551890383815+0j),0.12970242985289043,(0.12989253193275466+0j),0.12970242985289043,(0.127347709926666+0j),0.12970631647143366,(0.13180597089656443+0j),0.12970631647143366,(2.2359943784992837+0j),2.177141582956197,(1.501041199350637+0j),1.5086820420427323
H4,(18.603593293747448+0j),18.742823455837193,(71.19445040999227+0j),70.11094991486125,(18.322133431537164+0j),18.323698954500586,(69.76781482728887+0j),69.83645869067296,(0.7905636174375533+0j),0.7984143798190801,(4.852710901487782+0j),4.824422034327283,(1.5936770394631854+0j),1.6067145417086963,(5.011530718643193+0j),5.079223817357926,(34.265788770669026+0j),34.659672318609076,(82.5278180267631+0j),81.39721048901089
LiH,(26.179514318230545+0j),26.47888586780998,(184.58987928488796+0j),185.34069244241869,(26.2857150696306+0j),26.426426025045576,(182.2728687681395+0j),185.0364231396958,(0.3608168331509406+0j),0.3668637707234339,(0.794770089541629+0j),0.8024458182383832,(0.6749903862983394+0j),0.6709999254827533,(0.9066068004883429+0j),0.8948917261499344,(50.25481647081227+0j),50.19125742612792,(215.61598370040417+0j),213.59807055135323
BeH2,(89.90362598541826+0j),89.51911319624199,(529.8733241076023+0j),536.4694738004134,(87.51457700492567+0j),87.9950079406545,(534.8325755158404+0j),534.4557523568543,(1.4655821883774365+0j),1.4609461760514615,(7.027956442188498+0j),6.9729146965673525,(3.011168177864514+0j),3.0054981415312985,(7.382518219590763+0j),7.3730458577525,(149.91486126074554+0j),151.65090715456338,(600.7490256629645+0j),598.2880101220704
H2O,(1523.230997946245+0j),1535.8082519985276,(6561.182243726823+0j),6550.794354684712,(1529.8664486865184+0j),1528.9592491614899,(6508.267329421552+0j),6534.534324074743,(3.2547961012454762+0j),3.251630869386307,(14.49714415463271+0j),14.525397195649807,(6.43977752804895+0j),6.442276657487226,(15.77346930254263+0j),16.04461769258703,(2287.8135646098053+0j),2284.6662665671647,(7290.156029600399+0j),7265.045949000595
