Molecule,FH Norm,Shifted FH Norm,FH Reduction Factor(%),LCU Norm,Shifted LCU Norm,LCU Reduction Factor(%)
H2,0.7397179539958494,0.18121046201519708,75.50276277109074,0.8405318891834308,0.18121046201519708,78.44097715421108
H4,2.0310151017253,0.528767469614692,73.96536002290104,6.005469313143247,1.1277741155345415,81.22088288643228
LiH,2.5254456574195694,0.3268203786436647,87.05890274520495,9.990187391585117,0.4738658177516487,95.25668739556585
BeH2,4.700335829054624,0.7856966323259572,83.28424476674077,16.448206613841045,1.3582425682102193,91.74230601488634
H2O,21.972250936630843,1.1726814111925499,94.66289815015027,57.37938427704821,2.003481624063853,96.5083598415934
